sample_id,cs_br_concentration,pb_br2_concentration,temperature,solvent_type,oa_concentration,oam_concentration,reaction_time,phase_label,bandgap,plqy,emission_peak,emission_fwhm,particle_size,size_distribution_width,lifetime,stability_score,phase_purity
20,1.38,1.42,177.9,4,0.014,0.342,26.0,0,2.45,0.965,527.8,22.2,11.3,0.29,16.1,0.85,0.94
21,2.04,1.36,156.5,2,0.26,0.344,20.5,0,2.28,0.687,512.6,23.3,7.5,0.47,22.5,0.81,0.8
22,2.37,1.26,146.9,3,0.435,0.037,17.3,1,3.93,0.282,420.1,18.1,5.2,0.27,3.4,0.73,0.96
23,1.4,1.78,144.7,0,0.49,0.373,5.4,0,2.42,0.828,528.1,24.2,6.9,0.47,13.4,0.78,0.93
24,1.41,1.01,182.5,1,0.422,0.166,24.2,0,2.28,0.707,515.7,19.9,10.3,0.31,14.7,0.82,0.96
25,1.6,1.06,110.6,1,0.246,0.411,23.6,1,3.77,0.171,412.5,21.3,5.5,0.45,3.9,0.6,0.87
26,2.01,0.57,163.3,4,0.062,0.446,16.4,0,2.04,0.793,536.3,17.0,10.1,0.38,13.3,0.96,0.96
27,2.32,1.54,117.4,1,0.052,0.329,20.2,1,3.72,0.243,392.1,19.2,5.7,0.32,3.6,0.67,0.86
28,2.11,0.71,160.3,4,0.149,0.351,26.5,0,2.43,0.744,524.2,19.3,12.7,0.4,19.5,0.99,0.93
29,2.42,1.26,169.4,2,0.355,0.38,19.1,0,2.45,0.745,510.3,14.0,6.2,0.33,12.8,0.51,0.82
30,1.26,0.58,105.7,2,0.375,0.08,12.2,1,3.9,0.246,405.4,20.0,4.2,0.44,4.5,0.55,0.97
31,1.98,1.8,174.2,4,0.194,0.255,24.9,0,2.29,0.771,512.4,21.1,11.4,0.49,7.6,0.53,0.95
32,0.91,1.8,186.0,3,0.415,0.456,22.6,2,2.75,0.316,444.4,21.3,7.4,0.29,0.5,0.59,0.94
33,0.87,0.76,151.4,3,0.02,0.14,11.6,0,2.31,0.791,497.0,26.7,11.0,0.38,17.9,0.89,0.93
34,2.19,0.95,179.0,4,0.179,0.392,12.9,0,2.32,0.834,509.6,18.7,9.9,0.27,14.5,0.61,0.87
35,1.22,0.83,175.3,4,0.237,0.281,23.8,0,2.37,0.861,520.9,22.0,12.9,0.21,13.2,0.94,0.88
36,2.09,0.67,125.7,2,0.012,0.258,24.3,1,3.66,0.145,397.5,18.5,5.1,0.22,3.6,0.55,0.99
37,2.05,1.3,162.7,1,0.335,0.387,26.6,0,2.4,0.875,512.0,20.7,4.8,0.48,7.9,0.87,0.83
38,1.42,1.0,108.8,0,0.089,0.126,6.8,1,4.09,0.051,396.3,17.8,5.6,0.32,6.0,0.56,0.8
39,1.94,0.59,174.6,0,0.35,0.036,28.2,0,2.32,0.718,534.6,17.2,11.8,0.4,16.9,0.74,0.91
40,0.77,1.09,179.7,4,0.147,0.317,12.5,2,3.19,0.281,471.6,20.4,6.4,0.46,4.9,0.57,0.81
41,1.65,1.09,154.8,0,0.152,0.374,27.6,0,2.18,0.875,514.1,21.0,9.9,0.26,24.3,0.59,0.96
42,2.2,1.78,193.2,4,0.231,0.275,12.3,3,2.99,0.49,462.1,23.0,9.1,0.23,7.1,0.81,0.6
43,2.3,0.98,145.1,4,0.33,0.347,8.8,1,3.57,0.113,418.8,18.0,4.8,0.41,8.2,0.82,0.86
44,1.22,1.52,133.2,3,0.231,0.179,12.6,0,2.36,0.922,530.8,22.4,6.7,0.28,19.8,0.94,0.82
45,0.65,0.53,150.7,0,0.406,0.289,24.2,0,2.38,0.818,529.8,19.0,8.5,0.32,12.7,0.95,0.92
46,2.21,0.7,150.1,0,0.198,0.251,21.6,0,2.35,0.671,526.1,18.2,12.1,0.48,16.0,0.83,0.99
47,1.97,1.23,135.9,1,0.381,0.116,11.6,1,3.93,0.224,383.6,14.9,4.8,0.46,7.9,0.52,0.93
48,0.71,1.95,163.4,2,0.417,0.132,18.6,2,3.0,0.579,448.4,21.9,9.6,0.31,2.9,0.95,0.9
49,1.21,1.8,148.7,3,0.444,0.003,27.1,0,2.32,0.919,518.9,22.2,11.1,0.45,20.7,0.83,0.88
50,1.16,0.67,167.5,3,0.105,0.081,25.8,3,2.98,0.402,494.9,23.8,11.4,0.22,5.6,0.63,0.6
51,0.86,1.94,159.9,4,0.319,0.439,23.2,2,3.06,0.231,463.4,16.6,10.0,0.27,5.4,0.71,0.83
52,1.67,1.65,162.3,4,0.132,0.362,13.6,0,2.24,0.761,516.4,21.8,10.6,0.35,24.5,0.71,0.83
53,0.69,1.21,161.5,0,0.439,0.266,23.8,2,3.08,0.531,472.2,27.1,6.9,0.4,5.0,0.72,0.88
54,2.25,1.55,142.9,3,0.395,0.191,19.7,1,3.88,0.065,407.8,22.3,4.6,0.27,6.7,0.93,0.86
55,2.25,1.11,118.9,0,0.289,0.059,5.2,1,3.73,0.087,404.3,22.5,5.9,0.28,7.4,0.93,0.88
56,1.23,0.91,168.1,1,0.207,0.392,17.1,0,2.23,0.774,516.8,18.6,11.7,0.46,7.2,0.83,0.95
57,1.39,1.55,116.2,1,0.254,0.393,25.0,4,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.69,0.93
58,2.11,1.73,147.2,4,0.218,0.032,10.5,1,3.84,0.162,412.0,25.8,2.8,0.38,1.9,0.8,0.99
59,2.14,1.46,143.9,1,0.425,0.465,18.0,1,3.86,0.18,434.7,19.7,3.5,0.38,4.1,0.83,1.0
60,0.67,0.91,139.9,3,0.203,0.1,5.4,0,2.22,0.91,513.9,16.2,9.6,0.37,9.7,0.61,0.99
61,1.41,1.11,100.5,1,0.204,0.053,6.8,1,4.2,0.117,445.0,12.9,5.8,0.46,6.0,0.85,0.99
62,1.63,1.65,175.7,3,0.341,0.448,26.6,0,2.18,0.795,529.8,17.9,10.3,0.41,16.6,0.68,0.91
63,1.9,0.9,128.7,3,0.337,0.411,6.9,1,3.7,0.202,402.9,25.1,3.7,0.28,7.9,0.95,0.9
64,0.9,1.6,187.3,1,0.115,0.417,25.9,2,2.83,0.343,476.4,20.8,8.4,0.49,4.8,0.93,0.99
65,2.2,1.06,131.5,4,0.434,0.245,29.6,1,3.9,0.185,403.9,23.9,5.2,0.22,5.7,0.77,0.9
66,1.29,1.53,117.5,0,0.349,0.23,22.2,4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.61,0.92
67,1.15,1.42,126.0,4,0.131,0.135,29.0,0,2.34,0.896,505.4,18.0,11.6,0.34,18.8,0.79,1.0
68,1.87,1.72,172.1,1,0.278,0.428,9.9,0,2.29,0.687,530.4,24.2,10.1,0.39,22.9,0.77,0.86
69,1.47,0.88,185.9,0,0.199,0.345,6.5,0,2.16,0.821,511.4,17.5,10.6,0.48,19.9,0.63,0.8
70,0.74,1.8,196.3,1,0.288,0.325,18.5,2,3.02,0.439,453.5,20.5,9.6,0.22,2.8,0.81,0.89
71,2.41,1.8,164.1,2,0.211,0.306,15.1,0,2.38,0.844,514.3,19.0,12.7,0.32,8.4,0.94,0.96
72,2.38,1.62,152.1,3,0.207,0.092,5.6,0,2.18,0.598,518.8,20.7,9.2,0.22,17.0,0.94,0.91
73,0.55,1.1,176.5,0,0.052,0.309,7.1,2,3.04,0.409,462.5,18.5,10.4,0.36,5.4,0.59,0.81
74,1.21,1.87,186.4,3,0.487,0.27,11.8,2,2.53,0.54,457.6,16.5,7.1,0.39,3.4,0.78,0.9
75,1.78,0.96,134.7,4,0.114,0.045,12.7,1,3.8,0.165,428.2,20.1,5.1,0.29,3.9,0.77,0.94
76,1.48,1.63,130.0,3,0.399,0.299,24.9,0,2.38,0.992,513.0,19.1,10.6,0.45,8.0,0.61,0.82
77,1.75,1.27,180.0,4,0.404,0.342,12.1,0,2.34,0.704,523.8,18.9,9.0,0.39,21.9,0.64,0.92
78,0.88,0.53,105.0,4,0.011,0.486,12.1,1,4.05,0.188,416.5,22.1,5.0,0.33,5.1,0.89,0.9
79,1.24,1.55,103.2,0,0.422,0.476,6.4,4,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.6,0.97
80,2.13,1.74,112.2,1,0.192,0.487,11.2,1,4.0,0.183,409.7,18.7,5.0,0.4,5.5,0.98,0.99
81,0.82,1.59,174.5,4,0.26,0.127,21.0,2,3.04,0.516,483.8,18.4,8.7,0.23,3.8,0.58,0.86
82,0.74,1.68,100.9,0,0.291,0.345,22.2,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.89,0.85
83,1.5,1.53,133.8,0,0.03,0.322,22.5,0,2.35,0.852,537.5,20.2,9.6,0.33,6.0,0.6,0.94
84,1.22,0.7,189.9,3,0.353,0.28,18.6,0,2.19,0.749,515.0,22.7,12.0,0.46,10.0,0.58,0.91
85,1.4,1.73,154.2,3,0.0,0.319,14.5,0,2.5,0.823,521.2,19.2,8.5,0.36,7.8,0.69,0.9
86,1.5,1.33,161.3,2,0.205,0.161,7.4,0,2.53,0.864,521.1,21.5,10.5,0.21,17.0,0.82,0.88
87,1.48,1.44,159.0,0,0.183,0.303,6.8,0,2.33,0.912,523.1,20.3,9.5,0.37,13.3,0.97,0.88
88,1.24,1.56,182.4,2,0.265,0.367,25.9,2,2.99,0.483,454.5,20.4,7.9,0.26,7.0,0.83,0.91
89,2.4,1.34,155.8,0,0.383,0.288,21.9,0,2.26,0.821,523.3,15.6,7.6,0.36,14.8,0.8,0.99
90,2.3,1.33,199.7,2,0.206,0.317,25.7,0,2.31,0.925,511.1,19.9,11.8,0.34,10.3,0.98,0.8
91,0.57,0.93,101.6,1,0.497,0.151,12.5,4,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.91,0.94
92,1.05,1.33,155.6,4,0.077,0.019,13.9,2,2.88,0.512,468.8,18.9,7.0,0.44,6.7,0.96,0.95
93,1.95,1.69,117.3,4,0.41,0.048,21.1,4,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.9,0.88
94,2.06,1.88,133.4,3,0.208,0.434,26.7,0,2.22,0.689,537.3,18.1,10.2,0.21,17.9,0.77,0.83
95,1.5,0.83,105.1,3,0.486,0.376,19.4,1,4.08,0.179,411.9,18.2,4.4,0.42,6.9,0.77,0.85
96,1.3,1.15,169.8,1,0.24,0.099,14.9,0,1.98,0.672,512.6,19.7,9.8,0.41,20.3,0.79,0.82
97,1.33,1.05,119.0,2,0.297,0.012,12.6,1,4.18,0.145,426.2,20.6,4.9,0.45,5.5,0.6,0.87
98,2.02,1.78,111.2,0,0.122,0.311,8.7,4,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.9,0.86
99,1.44,1.0,174.0,1,0.102,0.262,11.5,0,2.39,0.793,514.5,19.5,9.9,0.37,14.2,0.59,0.86
100,2.08,1.43,105.3,0,0.033,0.33,21.6,1,3.85,0.19,402.6,21.6,5.6,0.47,0.8,0.75,0.94
101,2.31,1.23,159.7,0,0.093,0.25,16.4,0,2.48,0.875,521.0,19.5,8.2,0.32,17.5,0.68,0.93
102,0.97,1.97,150.1,0,0.313,0.439,27.3,2,3.02,0.46,457.3,19.2,6.9,0.25,7.3,0.54,0.88
103,2.42,1.42,162.6,1,0.209,0.286,15.7,0,2.21,0.714,513.3,23.2,12.0,0.37,13.6,0.57,0.94
104,2.3,1.86,143.0,1,0.328,0.282,9.0,1,3.78,0.206,417.7,18.1,4.9,0.45,5.3,0.66,0.99
105,2.42,0.96,174.6,2,0.076,0.094,8.3,3,2.66,0.557,477.6,17.5,6.8,0.38,5.1,0.54,0.6
106,2.06,0.7,184.6,3,0.356,0.187,26.3,0,2.32,0.843,525.0,21.0,13.3,0.2,14.4,0.87,1.0
107,2.02,0.6,192.7,3,0.434,0.245,13.1,0,2.4,0.802,530.2,21.3,13.1,0.31,12.4,0.87,0.92
108,1.55,1.81,178.7,4,0.055,0.228,26.9,0,2.43,0.803,532.4,19.9,10.6,0.32,16.2,0.59,0.89
109,2.27,1.66,128.6,1,0.211,0.307,6.4,1,3.39,0.122,409.1,17.1,5.5,0.42,7.6,0.97,0.94
110,0.77,1.12,145.1,1,0.227,0.448,27.4,0,2.41,0.875,524.8,16.2,8.1,0.25,14.8,0.85,0.93
111,0.67,1.56,172.7,4,0.306,0.08,18.8,2,2.83,0.509,462.0,25.2,6.5,0.46,5.6,0.88,0.81
112,1.12,1.6,196.1,2,0.313,0.059,8.3,2,2.97,0.491,476.0,23.3,8.0,0.46,4.8,0.94,0.85
113,1.68,1.21,141.0,0,0.301,0.003,27.1,1,3.89,0.138,430.8,18.1,5.3,0.26,6.7,0.57,0.81
114,1.66,1.4,133.1,0,0.025,0.208,9.5,0,2.33,0.683,510.1,17.0,7.1,0.25,8.7,0.97,0.82
115,1.1,1.05,137.9,0,0.379,0.422,6.6,0,2.34,0.943,533.7,22.7,9.0,0.26,15.4,0.79,1.0
116,1.56,0.63,172.4,4,0.467,0.493,12.2,0,2.33,0.75,531.2,19.9,11.9,0.24,9.4,0.82,0.9
117,0.86,1.41,170.9,1,0.001,0.012,20.6,2,2.83,0.593,475.7,9.4,9.7,0.32,3.7,0.82,0.8
118,0.9,0.92,179.0,2,0.15,0.275,24.2,0,2.41,0.75,528.7,16.8,5.4,0.45,18.3,0.96,0.9
119,1.45,0.55,113.6,1,0.314,0.446,18.4,1,4.26,0.105,432.6,22.5,3.6,0.45,4.0,0.66,0.91
120,0.92,1.53,180.0,2,0.033,0.075,26.0,2,3.13,0.398,469.9,19.6,7.1,0.38,5.4,0.89,0.86
121,2.22,1.56,127.1,0,0.249,0.119,16.3,1,3.99,0.183,406.8,21.4,4.8,0.44,5.8,0.72,0.8
122,1.47,1.25,119.0,3,0.366,0.262,24.4,4,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.94,0.96
123,2.38,1.52,113.3,0,0.23,0.357,18.1,1,4.36,0.153,402.2,22.9,3.8,0.21,6.2,0.76,0.93
124,1.12,1.37,131.2,1,0.16,0.096,11.9,0,2.25,0.818,524.7,24.2,11.3,0.35,15.7,0.6,0.87
125,1.14,0.71,170.4,2,0.287,0.086,12.8,0,2.27,0.792,541.3,22.8,10.8,0.23,16.5,0.7,0.94
126,2.28,1.44,169.0,3,0.308,0.156,25.4,0,2.24,0.691,536.6,18.4,9.4,0.44,15.6,0.96,0.89
127,1.41,1.53,171.0,3,0.235,0.474,8.6,0,2.3,0.895,529.1,17.1,14.1,0.3,23.7,0.74,0.81
128,0.73,1.22,184.6,2,0.384,0.302,8.2,2,3.12,0.561,463.1,16.9,6.7,0.36,2.1,0.7,0.88
129,1.74,1.32,197.4,3,0.033,0.104,22.4,0,2.43,0.784,511.6,22.1,12.6,0.42,21.6,0.86,0.97
130,0.73,1.39,132.5,0,0.411,0.088,28.9,3,3.03,0.524,482.6,15.6,7.1,0.23,5.1,0.91,0.6
131,2.27,1.85,163.6,0,0.379,0.33,16.3,0,2.22,0.728,525.6,18.4,13.9,0.4,23.5,0.96,0.99
132,1.94,1.87,199.0,4,0.004,0.493,15.1,0,2.27,0.892,516.9,18.4,9.8,0.31,6.1,0.93,0.97
133,0.97,1.55,139.4,2,0.356,0.203,15.9,0,2.33,0.849,501.9,18.0,8.7,0.29,19.0,0.94,0.83
134,0.52,1.47,114.4,3,0.329,0.487,8.4,4,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.95,0.94
135,2.36,1.43,145.4,3,0.276,0.225,13.9,1,3.53,0.177,428.8,17.3,3.3,0.27,2.9,0.77,0.87
136,2.46,1.35,170.5,0,0.29,0.481,7.0,0,2.3,0.605,516.7,17.6,10.0,0.36,8.2,0.62,0.93
137,1.83,1.5,168.4,4,0.399,0.156,6.3,0,2.28,0.82,508.9,19.7,7.8,0.42,3.8,0.9,0.86
138,0.57,1.88,174.9,4,0.13,0.315,19.5,2,3.08,0.319,452.2,24.7,7.4,0.21,4.0,0.54,0.96
139,1.0,1.42,127.5,2,0.007,0.056,9.4,0,2.3,0.863,528.8,17.8,10.6,0.41,6.1,0.93,0.87
140,0.67,0.72,193.4,1,0.419,0.376,15.3,0,2.32,0.714,506.4,23.4,11.3,0.45,18.7,0.91,0.81
141,1.43,1.21,147.6,4,0.117,0.342,14.8,0,2.33,0.695,518.0,25.2,9.1,0.31,12.5,0.98,0.82
142,1.56,1.03,184.4,4,0.459,0.429,13.4,0,2.41,0.919,528.4,23.3,7.3,0.42,14.3,0.6,0.87
143,1.88,0.77,154.8,0,0.416,0.006,7.4,0,2.17,0.734,522.3,21.9,9.7,0.21,24.9,0.83,0.97
144,2.4,1.46,170.8,0,0.043,0.302,14.4,0,2.43,0.692,505.6,21.3,10.4,0.26,13.0,0.54,0.89
145,2.49,1.65,169.2,2,0.129,0.39,11.9,3,3.02,0.0,522.8,25.5,8.8,0.25,10.1,0.6,0.6
146,1.29,1.47,110.8,4,0.384,0.109,21.1,4,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.86,0.82
147,0.65,1.36,125.1,3,0.009,0.249,21.3,3,2.89,0.385,490.4,19.8,10.5,0.41,5.1,0.89,0.6
148,1.46,1.11,172.8,0,0.27,0.002,28.9,0,2.17,0.815,528.7,18.7,9.3,0.39,10.4,0.98,0.82
149,1.57,1.94,108.0,3,0.38,0.145,10.1,4,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.65,0.88
150,0.71,1.53,148.7,3,0.368,0.07,9.8,0,2.27,0.703,513.6,21.4,12.3,0.29,5.7,0.72,1.0
151,0.57,0.58,178.8,0,0.203,0.106,21.3,0,2.26,0.988,512.6,18.9,6.8,0.27,22.3,0.74,0.8
152,2.31,1.43,124.3,1,0.007,0.316,27.6,1,4.04,0.16,403.9,16.3,3.5,0.22,5.4,0.8,0.92
153,0.63,0.8,133.7,3,0.162,0.488,19.4,0,2.26,0.892,504.8,16.0,10.2,0.3,17.0,0.71,0.94
154,1.61,1.16,192.6,0,0.067,0.396,20.8,0,2.34,0.913,537.2,20.2,10.2,0.48,13.2,0.64,0.94
155,2.08,1.21,112.7,1,0.32,0.262,15.3,1,3.64,0.214,402.2,20.4,5.6,0.35,7.7,0.89,0.87
156,0.51,0.85,111.8,4,0.488,0.309,26.6,4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.89
157,1.75,0.81,105.3,0,0.398,0.343,29.2,1,3.78,0.155,407.9,18.5,4.7,0.33,3.7,0.67,0.96
158,2.02,0.56,174.0,4,0.088,0.393,17.1,0,2.43,0.702,512.6,21.4,9.0,0.3,22.1,0.89,0.87
159,0.7,1.61,187.0,3,0.446,0.037,19.6,2,3.05,0.486,463.5,21.3,10.0,0.34,6.7,0.6,0.87
160,1.04,1.0,103.2,4,0.03,0.068,26.3,4,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.94,0.92
161,2.08,1.46,161.2,1,0.289,0.276,10.7,0,2.38,0.603,517.3,23.3,10.5,0.34,20.3,0.94,0.85
162,1.37,0.83,192.7,1,0.457,0.449,15.4,3,2.63,0.594,478.2,19.9,6.9,0.32,6.1,0.55,0.6
163,1.49,0.62,175.3,3,0.475,0.066,12.4,0,2.16,0.896,526.2,24.4,8.9,0.46,15.0,0.73,0.95
164,2.25,1.11,179.0,2,0.313,0.352,5.0,0,2.28,0.685,530.1,19.5,8.4,0.43,12.8,0.79,0.84
165,1.87,1.43,133.6,0,0.257,0.455,14.1,1,3.64,0.197,414.7,20.2,4.7,0.31,3.1,0.78,0.95
166,0.78,1.0,154.0,3,0.369,0.376,26.8,2,2.71,0.401,440.8,17.4,8.1,0.47,2.9,0.53,0.87
167,1.4,1.25,183.0,3,0.355,0.339,18.3,0,2.3,0.67,507.6,18.2,13.4,0.48,24.7,0.73,0.82
168,2.3,0.93,195.7,0,0.082,0.056,8.7,0,2.38,0.87,543.6,20.4,12.1,0.4,20.2,0.71,0.95
169,0.54,0.78,102.2,1,0.417,0.26,13.4,4,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.83,0.96
170,1.47,1.5,153.0,4,0.223,0.152,8.3,0,2.34,0.868,493.6,20.1,10.5,0.31,13.5,0.73,0.83
171,2.35,1.57,128.5,1,0.42,0.346,21.7,1,3.98,0.18,422.7,21.6,5.2,0.26,6.1,0.78,0.81
172,1.13,1.02,137.3,4,0.488,0.267,8.0,3,3.07,0.242,523.4,24.4,7.5,0.36,9.4,0.75,0.6
173,1.79,0.94,189.6,4,0.333,0.4,23.2,0,2.27,0.841,517.2,19.3,10.1,0.21,12.8,0.81,0.84
174,1.21,0.99,160.8,1,0.292,0.111,28.4,0,2.42,0.818,505.9,23.1,11.0,0.26,18.1,0.66,0.92
175,2.39,1.86,136.1,1,0.358,0.214,14.7,1,4.08,0.154,404.2,18.1,6.0,0.47,4.5,0.87,0.88
176,1.39,0.75,172.8,3,0.364,0.207,25.9,0,2.35,0.867,532.2,16.4,9.8,0.38,25.0,0.69,0.8
177,1.78,0.91,117.5,3,0.355,0.378,8.4,1,3.98,0.195,405.8,22.6,4.9,0.29,1.6,0.78,0.89
178,0.55,0.5,126.3,3,0.062,0.333,12.2,0,2.42,0.72,536.7,12.0,10.6,0.38,15.6,0.68,0.9
179,1.37,0.89,168.6,0,0.187,0.366,5.4,0,2.25,0.772,505.1,19.4,10.7,0.31,16.3,0.82,0.99
180,0.6,0.94,163.9,0,0.257,0.383,9.6,2,3.11,0.544,436.6,22.1,7.2,0.29,2.3,0.84,0.94
181,0.69,1.37,182.3,0,0.068,0.141,24.5,2,2.61,0.568,464.4,14.3,8.9,0.44,4.9,0.78,0.94
182,2.4,1.77,171.3,0,0.209,0.458,7.9,0,2.39,0.81,518.0,11.7,9.0,0.36,20.3,0.99,0.83
183,1.11,1.62,111.9,1,0.428,0.071,10.7,4,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.85,0.96
184,0.66,1.66,175.7,0,0.098,0.016,21.5,2,2.94,0.356,452.5,19.5,8.4,0.29,5.9,0.56,0.92
185,1.68,0.8,167.1,0,0.045,0.423,28.5,0,2.3,0.766,524.8,20.0,6.8,0.27,12.9,0.79,0.8
186,0.93,0.79,128.2,4,0.002,0.363,28.1,0,2.28,0.867,510.9,18.2,9.6,0.4,22.4,0.99,0.88
187,1.53,1.11,176.1,2,0.062,0.055,8.4,0,2.42,0.764,507.7,20.7,11.7,0.23,13.6,0.66,1.0
188,1.39,1.33,129.1,3,0.094,0.035,26.0,0,2.43,0.773,514.3,20.0,12.3,0.23,8.2,0.54,0.83
189,1.3,1.39,110.2,1,0.032,0.488,13.5,4,0.0,0.0,0.0,0.0,0.0,0.38,0.0,1.0,0.82
190,2.18,1.59,127.9,4,0.297,0.378,25.0,1,4.08,0.134,391.6,23.6,2.9,0.24,4.8,0.73,0.82
191,1.48,0.85,194.2,0,0.05,0.026,6.7,0,2.4,0.783,517.5,19.0,9.0,0.22,13.4,0.88,0.95
192,2.09,0.8,166.2,3,0.252,0.271,25.2,0,2.47,0.819,540.6,22.4,9.8,0.46,18.7,0.72,0.81
193,0.85,1.49,177.9,1,0.246,0.067,22.9,2,2.83,0.454,452.0,18.5,6.0,0.34,2.6,0.93,0.9
194,1.28,1.24,197.1,4,0.338,0.383,12.1,3,2.47,0.308,455.7,15.6,11.7,0.39,3.3,0.69,0.6
195,1.36,1.99,141.2,0,0.331,0.124,21.2,0,2.33,0.78,516.9,22.6,11.7,0.34,15.5,0.93,0.91
196,2.3,0.9,169.6,4,0.011,0.158,19.3,0,2.39,0.867,517.5,14.5,8.7,0.4,15.2,0.58,0.86
197,2.44,0.8,163.5,0,0.42,0.268,12.2,3,2.9,0.346,485.0,24.8,12.3,0.23,7.1,0.67,0.6
198,0.63,1.7,147.5,1,0.174,0.038,25.6,0,2.25,0.94,516.0,20.0,11.9,0.4,21.0,0.77,0.98
199,1.76,1.27,118.7,3,0.106,0.481,23.6,1,3.44,0.174,389.7,20.4,4.7,0.37,2.9,0.81,0.9
200,1.23,0.72,115.0,2,0.422,0.205,26.5,1,4.14,0.112,416.7,19.6,4.4,0.41,6.2,0.62,0.85
201,0.8,0.54,179.7,2,0.232,0.28,15.9,0,2.36,0.814,525.1,21.5,11.2,0.25,8.1,0.93,0.99
202,1.47,0.53,186.0,0,0.157,0.149,6.6,0,2.42,0.71,527.6,23.1,8.7,0.27,6.9,0.79,0.9
203,0.74,1.5,158.0,4,0.126,0.442,11.0,2,3.1,0.576,452.4,16.2,9.7,0.27,7.1,0.71,0.83
204,0.85,1.95,143.9,2,0.431,0.028,18.3,0,2.4,0.882,512.6,19.1,10.2,0.24,23.6,0.74,0.87
205,1.12,1.47,190.5,0,0.421,0.331,28.5,2,2.8,0.286,461.0,17.2,9.9,0.31,9.7,0.91,0.82
206,2.23,1.79,138.8,3,0.464,0.459,12.5,1,4.21,0.117,401.3,21.7,6.9,0.3,6.8,0.91,0.93
207,2.08,0.91,108.0,3,0.236,0.206,26.0,1,3.82,0.05,422.0,18.9,3.3,0.31,2.7,0.8,0.96
